station	x	y	z
PDB01	0.822802197	-1.293521411	0.102705743
PDB02	0.821229617	-1.2938197	0.101998271
PDB03	0.819675458	-1.294115943	0.101298465
PDB04	0.818111601	-1.294415388	0.100596835
PDB05	0.816537901	-1.29471681	0.099893193
PDB06	0.814981562	-1.295014853	0.099199018
PDB07	0.813424689	-1.295312897	0.098506043
PDB08	0.811849519	-1.295616077	0.097806456
PDB09	0.81028332	-1.295919401	0.097111749
PDB10	0.808707593	-1.296225205	0.096414563
PDB11	0.80713972	-1.29652976	0.095724188
PDB12	0.805570057	-1.29683516	0.095038269
OT01	0.816646901	-1.308880661	0.112598719
OT02	0.81661011	-1.307156336	0.112368629
OT03	0.816582698	-1.3054326	0.112132893
OT04	0.816565516	-1.303709356	0.111892629
OT05	0.816558028	-1.301986669	0.111647919
OT06	0.816559135	-1.300264553	0.111399098
OT07	0.816568089	-1.298532898	0.111146541
OT08	0.816584174	-1.296801684	0.110891325
OT09	0.816607237	-1.295070854	0.110634052
OT10	0.816636428	-1.293340536	0.110373965
OT11	0.816671048	-1.291610728	0.110111164
OT12	0.816708846	-1.289891167	0.109847954
PDT1	0.8024472	-1.293846793	0.111831339
PDB3	0.804323816	-1.297077799	0.09449752
PDB4	0.820744528	-1.293911957	0.101779691
PDB6	0.837119842	-1.290814309	0.109289855
PSB7	0.803375252	-1.309362535	0.098473643
PSB9	0.832194933	-1.304238614	0.111226429
PST10	0.804847861	-1.305953055	0.113488922
PST12	0.82966139	-1.303583347	0.115120512
OB13	0.815196675	-1.290158149	0.089693398
OB15	0.817178149	-1.323529842	0.107333897
OT16	0.816757913	-1.28778639	0.109524836
OT18	0.817101803	-1.320970244	0.114087631
